emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_name
447966,Kamakshi,Hebert,1/5/1965,1/17/1997,1/1/9999,Engineer,Production
447931,Martijn,Jeong,1/11/1965,12/14/1990,1/1/9999,Staff,Sales
447877,Make,Heuser,1/13/1965,7/2/1988,1/1/9999,Senior Engineer,Quality Management
447613,Paris,Restivo,1/15/1965,11/21/1986,1/1/9999,Engineer,Development
447599,Heeju,Kemmerer,1/17/1965,12/26/1991,2/15/1996,Technique Leader,Development
447544,Stabislas,Kakkad,1/22/1965,2/19/1989,1/1/9999,Senior Staff,Sales
447376,Kirk,Zongker,1/7/1965,12/10/1999,1/1/9999,Staff,Research
447290,Maria,Miculan,1/8/1965,4/12/1993,5/8/1998,Senior Engineer,Production
447232,Aleksander,Schaaf,1/22/1965,5/26/1995,1/10/2000,Senior Staff,Sales
447191,Dmitri,Rousseau,1/17/1965,6/19/1995,5/26/1997,Engineer,Development
447135,Gennady,Rouquie,1/31/1965,8/24/1989,1/1/9999,Senior Staff,Human Resources
447018,Dannz,Miara,1/17/1965,12/4/1992,1/1/9999,Engineer,Production
446959,Aram,Passino,1/29/1965,1/28/1995,1/1/9999,Senior Engineer,Development
446897,Takahiro,Dalton,1/22/1965,9/30/1992,1/1/9999,Technique Leader,Production
446785,Yuping,Papastamatiou,1/30/1965,8/30/1988,1/16/1992,Engineer,Quality Management
446424,DAIDA,Nooteboom,1/16/1965,11/24/1985,1/1/9999,Engineer,Development
446306,Hercules,Kabayashi,1/22/1965,6/10/1991,1/1/9999,Senior Engineer,Production
446121,Fay,Cochrane,1/11/1965,12/13/1999,1/1/9999,Staff,Sales
445950,Ebru,Valtorta,1/23/1965,12/9/1992,1/1/9999,Engineer,Quality Management
445941,Masako,Dechter,1/11/1965,9/25/1985,1/1/9999,Technique Leader,Production
445723,Gaurav,Roison,1/31/1965,7/12/1991,1/1/9999,Staff,Production
445570,Van,Nations,1/25/1965,8/11/1986,1/1/9999,Technique Leader,Development
445514,Tuval,Albarhamtoshy,1/5/1965,9/24/1990,10/28/1999,Technique Leader,Development
445456,Apostol,Gruenwald,1/12/1965,8/4/1998,3/18/2000,Engineer,Production
445226,Oscar,Baumann,1/1/1965,1/22/1987,1/1/9999,Engineer,Production
445201,Randi,Alblas,1/22/1965,5/2/1992,1/27/2000,Staff,Human Resources
445152,Heping,Peac,1/9/1965,3/20/1985,1/1/9999,Staff,Research
445067,Eldridge,Kawashima,1/28/1965,2/27/1990,1/1/9999,Engineer,Quality Management
444643,Berna,Schonegge,1/18/1965,6/28/1998,1/1/9999,Staff,Research
444487,Udi,Rullman,1/3/1965,4/9/1994,1/1/9999,Senior Engineer,Development
444465,Prasadram,Bultermann,1/13/1965,8/29/1997,10/25/1998,Senior Engineer,Development
444228,Xinglin,Busillo,1/23/1965,10/8/1998,6/11/1999,Senior Engineer,Production
444208,Irena,Cesareni,1/27/1965,10/30/1985,1/1/9999,Senior Staff,Sales
444099,Kousuke,Worfolk,1/28/1965,3/22/1988,1/1/9999,Staff,Sales
444070,Heping,Skrikant,1/15/1965,11/27/1990,1/1/9999,Staff,Customer Service
443873,Vatsa,Ramsay,1/20/1965,6/16/2000,1/1/9999,Senior Staff,Sales
443841,Shaw,Kading,1/8/1965,7/16/1992,1/1/9999,Senior Staff,Sales
443632,Bernd,Conia,1/10/1965,11/25/1999,4/25/2002,Staff,Sales
443485,Marke,Klerer,1/23/1965,4/14/1990,1/1/9999,Senior Staff,Research
443339,Shir,Krone,1/4/1965,10/2/1996,9/7/1998,Staff,Research
443108,Christfried,Atrawala,1/14/1965,7/13/1990,11/29/1998,Senior Staff,Finance
442898,Aksel,Gire,1/7/1965,6/27/1999,1/1/9999,Engineer,Production
442704,Terresa,Milicia,1/7/1965,5/24/1993,7/26/1995,Engineer,Development
442700,Siddarth,Masada,1/6/1965,8/11/1997,1/1/9999,Staff,Research
442653,Mona,Hebden,1/4/1965,10/20/1995,1/1/9999,Engineer,Development
442490,Navid,Luke,1/8/1965,10/17/1994,1/1/9999,Engineer,Production
442312,Zengping,Cusworth,1/5/1965,6/7/1991,1/1/9999,Senior Engineer,Production
442096,Martijn,DiGiano,1/15/1965,6/15/1990,1/1/9999,Senior Engineer,Production
442002,Ravishankar,Baig,1/3/1965,3/17/1992,1/1/9999,Staff,Sales
441965,Claudi,Heijenga,1/12/1965,8/30/1988,1/1/9999,Staff,Research
441954,Leszek,Marchegay,1/3/1965,6/13/1999,1/1/9999,Engineer,Production
441651,Aimee,Billawala,1/7/1965,2/20/1989,8/24/1995,Engineer,Development
441536,Chinho,Collette,1/10/1965,8/7/1990,10/9/1995,Senior Engineer,Quality Management
441197,Miquel,Legleitner,1/18/1965,6/28/1985,1/1/9999,Staff,Sales
440997,Manton,Schapiro,1/1/1965,3/26/1991,1/31/2001,Senior Staff,Sales
440937,Fabrizio,Usery,1/18/1965,10/13/1992,1/1/9999,Senior Staff,Research
440870,Filipp,Hasham,1/1/1965,10/14/1996,1/1/9999,Senior Staff,Customer Service
440642,Snehasis,Kalsbeek,1/14/1965,1/6/1988,1/1/9999,Staff,Sales
440450,Tzvetan,Scharstein,1/16/1965,6/16/1994,1/1/9999,Staff,Human Resources
440435,Sandeepan,Rosti,1/3/1965,11/26/1991,1/1/9999,Senior Engineer,Development
440325,Douadi,Sullins,1/10/1965,9/25/1999,1/1/9999,Senior Staff,Sales
439924,Gunilla,Kisuki,1/30/1965,8/14/1994,1/1/9999,Staff,Finance
439905,Kousuke,Levasseur,1/3/1965,3/16/1990,1/1/9999,Senior Staff,Customer Service
439377,Mari,Plessier,1/28/1965,7/4/1997,1/1/9999,Senior Engineer,Development
438723,Charlene,Verspoor,1/12/1965,3/16/1992,11/13/2001,Assistant Engineer,Quality Management
438557,Lidong,Swist,1/30/1965,9/16/1999,1/1/9999,Engineer,Development
438264,Rasikan,Barreiro,1/19/1965,9/27/1991,1/1/9999,Staff,Customer Service
438158,Shaw,Varman,1/19/1965,12/16/1994,5/13/1999,Senior Engineer,Development
438038,Lena,Giaccio,1/1/1965,10/3/2001,1/1/9999,Senior Staff,Marketing
437870,Kerhong,Lorho,1/7/1965,6/18/1995,3/17/2001,Staff,Customer Service
437724,Erez,Luft,1/17/1965,12/14/1994,1/1/9999,Staff,Human Resources
437395,Sumant,Thambidurai,1/21/1965,1/2/1994,8/24/1996,Senior Staff,Sales
437369,Kazuhide,Biran,2/1/1965,1/25/1995,1/1/9999,Senior Staff,Sales
437276,Dines,DeMori,1/17/1965,12/7/1987,1/1/9999,Senior Staff,Finance
436915,Feixiong,Haraldson,1/13/1965,10/11/1998,1/1/9999,Staff,Research
436827,Wojceich,Limongiello,1/30/1965,3/10/1988,1/1/9999,Senior Staff,Human Resources
436797,Ohad,Henders,1/24/1965,11/3/1990,1/1/9999,Staff,Finance
436558,Subir,Greibach,1/8/1965,5/24/1992,1/1/9999,Senior Engineer,Development
435791,Hercules,Speer,1/7/1965,3/7/1994,1/1/9999,Senior Engineer,Quality Management
435774,Olivera,Bharadwaj,1/9/1965,4/1/1992,1/1/9999,Staff,Sales
435664,Sham,Chiodo,1/2/1965,7/28/1997,6/16/2000,Senior Engineer,Production
435602,Dietrich,Kranzdorf,1/29/1965,10/4/1992,1/1/9999,Senior Staff,Sales
435588,Genta,Pepe,1/29/1965,4/12/1994,1/1/9999,Staff,Human Resources
435370,Conal,Basart,1/16/1965,5/17/1991,1/1/9999,Senior Staff,Sales
435357,Jaques,Standera,1/29/1965,10/2/1997,3/11/1998,Engineer,Development
435305,Berthier,Pramanik,1/21/1965,1/23/1993,1/1/9999,Staff,Sales
435289,Feixiong,Schurmann,1/4/1965,2/15/1987,1/1/9999,Senior Staff,Marketing
435226,Yinghua,Panwar,1/12/1965,6/11/1994,2/26/1996,Senior Staff,Human Resources
435181,Kazuhide,Fiutem,1/16/1965,5/10/1992,1/1/9999,Senior Staff,Marketing
435060,Moie,Lieblein,1/16/1965,7/12/1996,1/1/9999,Staff,Sales
435042,Brigham,Borstler,1/10/1965,10/9/1995,1/1/9999,Staff,Sales
435026,Shim,Versino,1/14/1965,12/17/1996,11/20/1997,Senior Engineer,Quality Management
434936,Sahrah,Rosis,1/15/1965,6/24/1994,1/1/9999,Engineer,Development
434845,Takushi,Skogmar,1/11/1965,6/7/1985,1/1/9999,Staff,Sales
434384,Greger,Babb,1/28/1965,11/6/1995,6/13/1998,Senior Staff,Finance
433640,Monique,Baer,1/12/1965,12/12/1987,2/13/1996,Senior Staff,Finance
433465,Wonhee,Benveniste,1/12/1965,12/21/1985,3/23/1987,Senior Staff,Human Resources
433438,Keiichiro,Miyakawa,1/6/1965,9/12/1993,1/1/9999,Staff,Research
433260,Make,Olivero,2/1/1965,6/1/1991,1/1/9999,Engineer,Quality Management
433157,Tomofumi,Serna,1/16/1965,10/23/1999,1/1/9999,Staff,Sales
433059,Bojan,Montresor,1/2/1965,2/4/1995,1/1/9999,Staff,Sales
432956,Qunsheng,Birrer,1/25/1965,5/13/1986,1/1/9999,Senior Staff,Marketing
432890,Nalini,Perly,1/24/1965,3/7/1999,1/15/2001,Senior Engineer,Production
432787,Toshiko,Ibel,1/16/1965,11/23/1996,1/1/9999,Senior Engineer,Development
432665,Flemming,Driscoll,1/2/1965,6/28/1991,5/28/1994,Engineer,Quality Management
432523,Takahiro,Maquelin,1/21/1965,7/21/1997,1/1/9999,Engineer,Development
432399,Nitsan,Nollmann,1/19/1965,9/29/1993,1/1/9999,Engineer,Customer Service
432261,Arve,Bergere,1/30/1965,7/28/1987,1/1/9999,Senior Engineer,Development
432257,Kwangjo,Hiltgen,1/20/1965,12/22/1998,1/1/9999,Engineer,Production
432121,Alair,Straney,1/6/1965,11/15/1986,1/1/9999,Senior Staff,Customer Service
432089,Irena,Gulla,1/17/1965,12/30/1989,1/11/2002,Senior Engineer,Quality Management
432034,Arfst,Uehara,1/24/1965,11/15/1993,7/10/1994,Senior Staff,Human Resources
432031,Adamantios,Matzat,1/11/1965,3/1/1987,1/1/9999,Staff,Sales
431887,Poorav,Ranst,1/5/1965,6/1/1996,1/1/9999,Senior Engineer,Development
431882,Hideo,Varman,1/21/1965,6/19/1997,1/1/9999,Engineer,Development
431759,Alassane,Ramsay,2/1/1965,11/21/1987,4/12/1989,Engineer,Production
431657,Visit,Thiran,1/31/1965,11/14/1986,1/1/9999,Engineer,Development
431576,Masamitsu,Back,1/6/1965,3/25/1987,4/12/1993,Senior Staff,Finance
431353,Bedir,Reeken,1/22/1965,2/17/1991,10/25/1998,Senior Staff,Sales
430981,Amabile,Koyama,1/24/1965,7/25/1985,5/14/1993,Staff,Customer Service
430891,Khalil,Gien,1/6/1965,8/6/1991,1/1/9999,Senior Engineer,Production
430631,Kersti,Marsiglia,1/17/1965,2/19/1994,1/1/9999,Engineer,Development
430593,Janalee,Lanzelotte,1/19/1965,12/1/1997,1/1/9999,Senior Staff,Customer Service
430558,Xiong,Roisin,1/7/1965,3/1/1988,1/1/9999,Senior Engineer,Quality Management
430054,Erzsebet,Setiz,1/22/1965,6/10/1993,1/1/9999,Engineer,Development
429954,Renny,Gladwell,1/26/1965,2/27/1999,1/1/9999,Staff,Sales
429899,Ranan,Marsiglia,1/30/1965,8/13/1999,1/1/9999,Staff,Marketing
429756,Jiann,Hofmeyr,1/6/1965,2/3/1992,10/23/1997,Staff,Finance
429703,Ung,Honglei,1/6/1965,9/2/1986,1/1/9999,Staff,Human Resources
429569,Fumiya,Chappelet,1/3/1965,9/3/1992,1/1/9999,Assistant Engineer,Development
429553,Tadanori,Fujisawa,1/12/1965,8/7/1999,7/4/2000,Technique Leader,Development
429532,Bartek,Vendrig,1/25/1965,6/6/1992,1/1/9999,Senior Staff,Customer Service
429520,Yongqiao,Francisci,1/6/1965,12/1/1999,1/1/9999,Engineer,Quality Management
429481,Subhada,Emmerich,1/9/1965,3/6/1996,1/1/9999,Engineer,Development
429419,Adas,Chinen,1/13/1965,1/4/1993,5/15/2002,Staff,Research
429381,Limsoon,Roohalamini,1/6/1965,11/26/1986,1/1/9999,Staff,Sales
429316,Seshu,Hiraishi,1/8/1965,8/10/1994,1/1/9999,Staff,Finance
429249,Alassane,Wolniewicz,1/28/1965,11/9/1993,1/1/9999,Engineer,Research
429238,Mona,Luck,1/29/1965,5/11/1989,1/1/9999,Senior Staff,Sales
429231,Kazuyasu,Schmiedel,1/9/1965,9/7/1985,1/1/9999,Staff,Sales
429087,Hugh,Senzako,1/27/1965,10/15/1992,1/1/9999,Technique Leader,Quality Management
429040,Bader,Detkin,1/22/1965,10/24/1993,7/31/1999,Staff,Finance
428917,Theron,Billawala,1/23/1965,2/17/1989,1/1/9999,Engineer,Development
428294,Nimmagadda,Kusakari,1/13/1965,9/29/1992,1/23/1994,Engineer,Development
428235,Chenyi,Demian,1/17/1965,6/29/1988,8/29/1991,Senior Engineer,Quality Management
428219,Ghassan,Androutsos,1/21/1965,12/26/1987,1/1/9999,Staff,Sales
428195,Hatsukazu,Rosca,1/11/1965,10/13/1986,8/2/1993,Senior Staff,Finance
428160,Jamaludin,Kalorkoti,1/12/1965,9/6/1998,1/1/9999,Senior Staff,Marketing
428082,Ronghao,Alpin,1/9/1965,9/11/1991,1/1/9999,Senior Staff,Human Resources
427852,Adil,Kieras,1/2/1965,7/20/1992,1/1/9999,Senior Engineer,Production
427823,Jaques,Gecsei,1/18/1965,7/13/1999,1/1/9999,Staff,Customer Service
427805,Haldun,Compeau,1/21/1965,10/15/1997,1/1/9999,Senior Staff,Finance
427776,Jaques,Navazio,1/25/1965,4/4/1989,1/1/9999,Staff,Finance
427659,Mariusz,Ritcey,1/27/1965,3/16/1987,7/1/1991,Engineer,Production
427571,Torsten,Ranta,1/20/1965,7/3/1995,1/1/9999,Engineer,Research
427332,Feiyu,Hemaspaandra,1/20/1965,6/4/1995,1/1/9999,Staff,Customer Service
427320,Mamdouh,Ramamoorthy,1/13/1965,1/13/2000,1/1/9999,Senior Engineer,Development
427313,Utpal,Kemmerer,1/31/1965,12/4/1986,1/1/9999,Staff,Research
426958,Weijing,Viele,1/19/1965,10/3/1985,1/1/9999,Senior Engineer,Production
426824,Gopalakrishnan,Mawatari,1/25/1965,10/29/1988,12/7/1997,Senior Staff,Sales
426819,Sandeepan,Kulisch,1/13/1965,5/16/1997,1/1/9999,Engineer,Production
426818,Gaurav,Fendler,1/21/1965,2/15/1992,1/1/9999,Senior Staff,Customer Service
426795,Huican,Lunn,1/7/1965,7/23/1986,1/1/9999,Senior Staff,Customer Service
426706,Karsten,Kawashima,1/7/1965,3/15/1994,1/1/9999,Engineer,Production
426683,Xudong,Muntz,1/3/1965,3/8/1991,4/2/1996,Engineer,Production
426644,Zejun,Broomell,1/13/1965,1/19/1995,1/1/9999,Senior Engineer,Production
426611,Serap,Bahi,1/29/1965,5/15/1986,5/4/1990,Engineer,Development
426235,Danco,Rajala,1/31/1965,3/29/1991,1/1/9999,Staff,Human Resources
426228,Supot,Badache,1/17/1965,8/17/1996,1/1/9999,Engineer,Development
426168,Kaijung,Mateescu,1/10/1965,11/18/1987,1/1/9999,Senior Staff,Finance
426153,Shahaf,Luce,1/16/1965,4/6/1999,1/1/9999,Senior Staff,Sales
425875,Jahangir,Kroft,1/19/1965,6/11/1990,1/1/9999,Staff,Sales
425830,Guther,Conia,1/30/1965,2/13/1999,1/1/9999,Engineer,Development
425780,Paris,Range,1/15/1965,10/25/1989,1/1/9999,Staff,Sales
425757,Yongdong,Jiang,1/18/1965,1/31/1995,1/1/9999,Senior Staff,Production
425540,Paddy,Zumaque,1/3/1965,11/12/1995,1/1/9999,Senior Staff,Finance
425535,Alagu,Vieri,1/18/1965,8/23/1986,1/1/9999,Staff,Marketing
425437,Moni,Staudhammer,1/3/1965,3/23/1999,1/1/9999,Engineer,Development
424984,Vasilis,Waleschkowski,1/11/1965,5/26/1996,1/1/9999,Engineer,Development
424930,Xuejun,Reeker,1/19/1965,11/18/1988,1/1/9999,Staff,Human Resources
424845,Salvador,Peres,1/1/1965,4/24/1995,2/5/1996,Staff,Customer Service
424805,Jacqueline,Zallocco,1/24/1965,12/17/1987,1/1/9999,Staff,Sales
424797,Theron,Itschner,1/19/1965,5/16/1985,1/1/9999,Senior Staff,Sales
424714,Nathan,Vendrig,1/10/1965,8/20/1990,3/22/1997,Engineer,Development
424685,Changho,Veevers,1/10/1965,3/3/1997,1/1/9999,Senior Staff,Finance
424584,Kagan,Dredge,2/1/1965,2/26/1994,1/1/9999,Engineer,Development
424569,Danco,Luff,1/14/1965,10/30/1997,1/1/9999,Engineer,Development
423993,Seshu,Kolvik,1/1/1965,12/9/1988,1/1/9999,Technique Leader,Development
423633,Mariusz,Tokunaga,1/30/1965,2/11/1985,1/1/9999,Senior Engineer,Development
423516,Wojceich,Butterworth,1/2/1965,8/29/1996,11/16/1999,Senior Engineer,Quality Management
423350,Heping,Monarch,1/4/1965,4/15/1988,1/1/9999,Staff,Sales
423327,Constantijn,Lichtman,1/27/1965,6/26/1994,1/1/9999,Staff,Sales
423214,Tsutomu,Tetzlaff,1/31/1965,9/24/1987,1/1/9999,Senior Staff,Finance
423208,Joydip,Krone,1/19/1965,2/8/1995,1/1/9999,Engineer,Development
423204,Uma,Stranks,1/8/1965,9/13/1991,1/1/9999,Staff,Sales
423038,Takushi,Strehl,1/20/1965,10/4/1988,1/1/9999,Senior Staff,Sales
422783,Jagoda,Uhrig,1/18/1965,9/1/1995,1/1/9999,Engineer,Production
422450,Junichi,Rubsam,1/4/1965,10/30/1988,3/11/1994,Senior Engineer,Development
422263,Abdulah,Remmele,1/6/1965,9/24/1992,7/21/1996,Staff,Finance
422146,Kenton,Miara,1/8/1965,3/13/2002,1/1/9999,Engineer,Research
421755,Shichao,Thiria,1/3/1965,1/11/1989,1/1/9999,Engineer,Production
421384,Renny,Bednarek,1/2/1965,6/1/1987,1/1/9999,Staff,Human Resources
421312,Mariangiola,Bashian,1/13/1965,9/18/1999,1/1/9999,Engineer,Development
421074,Zhaofang,Falster,1/7/1965,6/29/1994,1/1/9999,Senior Staff,Sales
421039,Aemilian,Zedlitz,1/28/1965,12/23/1988,7/16/1993,Engineer,Development
421033,Garnik,Randt,1/14/1965,12/23/1989,1/1/9999,Senior Staff,Sales
421022,Shigeaki,Butner,1/26/1965,7/13/1996,1/1/9999,Senior Staff,Sales
420921,Niranjan,Lamba,1/30/1965,11/16/1997,10/10/1998,Staff,Sales
420877,Khosrow,Erez,1/29/1965,2/11/1990,1/1/9999,Staff,Finance
420765,Shawna,Krider,1/17/1965,3/9/1990,1/1/9999,Senior Staff,Sales
420759,Raimond,Solovay,1/4/1965,10/3/1997,1/1/9999,Staff,Sales
420732,Willard,Morrin,1/6/1965,5/27/1996,1/1/9999,Staff,Marketing
420694,Frazer,Barbanera,1/19/1965,11/4/1986,1/1/9999,Senior Staff,Research
420681,Atilio,Rajala,1/10/1965,12/1/1999,7/27/2001,Technique Leader,Development
420599,Hidde,Riexinger,1/2/1965,11/18/1986,8/20/1996,Engineer,Quality Management
420557,Mabhin,Eastman,1/6/1965,8/2/1989,1/1/9999,Staff,Sales
420476,Mariangiola,Bolsens,1/28/1965,6/15/1985,1/1/9999,Staff,Customer Service
420086,Susuma,Kitsuregawa,1/27/1965,5/28/1985,1/1/9999,Senior Engineer,Development
419953,Ung,Orlowski,1/29/1965,7/22/1991,1/1/9999,Senior Staff,Marketing
419388,Nikolaos,Bamford,1/22/1965,2/25/1986,9/23/1997,Senior Engineer,Development
419099,Heon,Broomell,1/15/1965,5/6/1998,1/1/9999,Staff,Sales
418860,Ymte,Dalton,2/1/1965,11/22/1992,1/1/9999,Staff,Marketing
418717,Arunachalam,Magliocco,1/20/1965,12/23/1987,1/1/9999,Senior Staff,Sales
418689,Gino,Uehara,1/7/1965,2/17/1988,4/9/1991,Senior Staff,Marketing
418606,Michaela,Otillio,1/11/1965,1/5/1994,1/1/9999,Engineer,Production
418566,Kazuhide,Snedden,1/27/1965,6/14/1996,1/1/9999,Senior Engineer,Production
418380,Kazuhiko,Gornas,1/2/1965,5/20/1993,1/1/9999,Senior Engineer,Production
418309,Danel,Petereit,1/24/1965,2/21/1985,1/1/9999,Senior Engineer,Production
418298,Arvin,Pusterhofer,1/8/1965,3/2/1995,1/1/9999,Senior Engineer,Production
418247,Oscar,Oppitz,1/8/1965,7/27/2002,1/1/9999,Staff,Marketing
418239,Josyula,Motley,1/3/1965,9/5/1992,3/26/1996,Senior Engineer,Development
417435,Bouchung,Zaumen,1/3/1965,1/29/1999,1/1/9999,Senior Staff,Sales
417128,Valeska,Rosenbaum,1/26/1965,5/18/1994,1/13/1997,Senior Engineer,Development
416892,Shooichi,Vandervoorde,1/3/1965,8/16/1996,1/1/9999,Engineer,Production
416877,Gio,Orsini,1/2/1965,12/7/1988,1/1/9999,Staff,Marketing
416720,Tokuyasu,Xiaoshan,1/14/1965,9/19/1991,1/1/9999,Senior Engineer,Production
416660,Nathalie,Luke,1/28/1965,9/16/1987,1/1/9999,Assistant Engineer,Development
416492,Kannan,Meriste,1/15/1965,8/12/1992,1/1/9999,Senior Engineer,Development
416455,Laurentiu,Morton,1/22/1965,12/21/1998,12/23/1999,Engineer,Production
416420,Adamantios,Heemskerk,1/22/1965,8/8/1986,1/1/9999,Senior Staff,Sales
416383,Nectarios,Itschner,1/29/1965,3/2/1990,1/1/9999,Engineer,Development
416074,Alain,Lieberherr,1/8/1965,5/11/1987,1/1/9999,Senior Engineer,Development
415563,Mrinalini,Bierbaum,1/21/1965,3/12/1986,1/1/9999,Engineer,Development
415363,Conal,Shackell,1/19/1965,1/25/1986,2/23/1995,Staff,Sales
415338,Shigeo,Emmart,1/22/1965,12/24/1995,1/1/9999,Assistant Engineer,Production
415234,Ewing,Baak,1/28/1965,10/5/1993,10/19/1993,Engineer,Development
415187,Juyoung,Peltason,1/3/1965,9/1/1998,1/1/9999,Assistant Engineer,Production
414922,Prasadram,Piazza,1/20/1965,6/5/1987,11/4/1997,Engineer,Production
414897,Juyoung,Willoner,1/17/1965,11/3/1989,1/1/9999,Staff,Sales
414814,Dayanand,Wielonsky,1/28/1965,2/28/1999,1/1/9999,Staff,Development
414808,Aris,Sambasivam,1/5/1965,2/21/1988,5/20/1998,Engineer,Development
414714,Chinho,Delgrande,1/6/1965,11/7/1996,1/1/9999,Senior Staff,Research
414662,Ipke,Schneeberger,1/21/1965,9/20/1985,1/1/9999,Senior Engineer,Development
414551,Elliott,Copas,1/22/1965,9/13/1994,1/1/9999,Senior Engineer,Development
414543,Bernd,Anick,1/3/1965,11/19/1988,1/1/9999,Senior Engineer,Production
414461,Somnath,Bierbaum,1/22/1965,12/5/1996,12/22/2000,Senior Staff,Marketing
414091,Wuxu,Kuhnemann,1/17/1965,8/19/1997,1/1/9999,Engineer,Development
414027,Tadanori,Msuda,1/31/1965,2/20/1993,1/1/9999,Engineer,Customer Service
413832,Marco,Jahnichen,1/24/1965,3/28/1995,1/1/9999,Senior Staff,Human Resources
413831,Mohamadou,Grabner,1/9/1965,11/25/1991,1/1/9999,Staff,Customer Service
413729,Harjit,Ernst,1/2/1965,4/26/1992,1/1/9999,Technique Leader,Development
413666,Remco,Duclos,1/5/1965,4/18/1988,1/1/9999,Staff,Finance
413554,Elvia,Schwartzburd,1/20/1965,10/16/1991,8/25/1995,Engineer,Quality Management
413205,Mototsugu,Prampolini,1/9/1965,6/12/1988,1/1/9999,Senior Staff,Sales
413098,Hsiangchu,Taubenfeld,1/26/1965,4/17/1993,1/1/9999,Senior Staff,Research
412757,Leen,Peak,1/3/1965,11/20/1999,1/1/9999,Engineer,Development
412404,Mitsuyuki,Jeansoulin,1/15/1965,10/28/1999,1/1/9999,Senior Engineer,Production
412315,Geoff,Peck,1/2/1965,1/8/1999,3/26/1999,Staff,Sales
411906,Anneli,Pappas,2/1/1965,7/4/1998,9/19/1998,Engineer,Development
411727,Weiwu,Lamma,1/9/1965,11/5/1997,11/26/2000,Staff,Sales
411143,Goncalo,Barbanera,1/8/1965,9/1/1996,1/1/9999,Senior Staff,Marketing
411082,Martine,Cangellaris,1/8/1965,4/28/1992,1/1/9999,Senior Engineer,Production
411070,Otmar,Brandsma,1/29/1965,5/28/1987,1/1/9999,Senior Engineer,Development
410881,Koichi,Grabner,1/6/1965,4/5/2000,1/1/9999,Senior Engineer,Quality Management
410804,Ronnie,Denos,1/17/1965,6/8/1992,1/1/9999,Senior Engineer,Production
410703,Kitty,Halloran,1/14/1965,11/20/1997,1/18/2002,Staff,Sales
410616,Gudjon,Kalorkoti,1/18/1965,4/14/1994,1/1/9999,Senior Engineer,Development
410592,Tonia,Shigei,1/1/1965,3/13/1993,1/12/1997,Staff,Human Resources
410433,Kazuhisa,Riesenhuber,1/19/1965,10/6/1992,1/1/9999,Senior Engineer,Production
410372,Duri,Mitina,1/8/1965,3/4/1990,1/1/9999,Engineer,Development
410028,Xiadong,McClurg,1/11/1965,9/17/1985,1/1/9999,Staff,Human Resources
409898,Divier,Ishibashi,2/1/1965,9/22/1989,1/1/9999,Engineer,Development
409805,Frazer,Candan,1/15/1965,3/5/1999,1/1/9999,Senior Engineer,Quality Management
409798,Dekang,Tsunoo,1/15/1965,1/19/1995,1/1/9999,Technique Leader,Production
409712,Etsuo,Andreotta,1/23/1965,3/28/1992,6/23/2000,Engineer,Quality Management
409391,Willard,Verspoor,1/6/1965,2/28/1999,1/1/9999,Engineer,Production
409112,Sahrah,Mitchem,1/10/1965,3/28/1991,5/18/2002,Staff,Finance
408953,Jolita,Claffy,1/26/1965,12/24/1993,1/1/9999,Senior Engineer,Development
408654,Yongqiao,Cochrane,1/9/1965,10/27/1986,1/1/9999,Senior Staff,Customer Service
408447,Mayuri,Werthner,1/13/1965,2/20/2001,1/1/9999,Senior Staff,Sales
408437,Uno,Solares,1/29/1965,9/22/1994,1/1/9999,Senior Staff,Customer Service
408435,Bikash,Vilarrasa,1/18/1965,3/26/1999,12/29/2000,Staff,Sales
408417,Tsz,Daescu,1/19/1965,9/28/1994,1/1/9999,Staff,Sales
408163,Irene,Sethi,1/21/1965,9/6/1996,8/12/2000,Senior Engineer,Quality Management
408114,Geoffrey,Ladret,1/5/1965,1/3/1994,1/1/9999,Engineer,Development
408019,Shridhar,Chleq,1/1/1965,3/22/1986,1/1/9999,Engineer,Production
407837,Fei,Erez,2/1/1965,4/2/1988,1/1/9999,Engineer,Quality Management
407522,Tommaso,Raczkowsky,1/25/1965,8/29/1996,1/1/9999,Staff,Finance
406847,Alexius,Crouzet,1/24/1965,10/5/1999,1/1/9999,Staff,Sales
406714,Malu,Ossenbruggen,2/1/1965,11/21/1986,1/1/9999,Staff,Research
406564,Parviz,Picco,1/25/1965,4/16/1995,1/1/9999,Engineer,Development
406537,Martien,Ranum,1/30/1965,3/15/1993,5/18/1999,Senior Engineer,Development
406299,Kitty,Kolvik,1/25/1965,10/7/1991,4/29/1995,Engineer,Development
406249,Naraig,Snyers,1/23/1965,12/3/1986,5/19/1992,Senior Engineer,Production
406239,Marek,Tomescu,1/9/1965,5/15/1995,1/1/9999,Senior Engineer,Development
406125,Georgi,Portugali,1/25/1965,9/27/1987,1/1/9999,Technique Leader,Production
405372,Masami,Merro,1/24/1965,9/23/1988,8/31/1999,Staff,Research
405063,Yechezkel,Yurov,1/26/1965,11/16/2001,1/1/9999,Senior Engineer,Production
405015,Morris,Fargier,1/2/1965,6/29/1988,1/1/9999,Senior Staff,Sales
404879,Jeanne,Kaminger,1/12/1965,7/21/1987,4/21/1991,Engineer,Production
404788,Basem,Beausoleil,1/16/1965,3/16/1998,1/1/9999,Engineer,Development
404755,Manu,Junet,1/13/1965,4/20/1991,1/1/9999,Staff,Marketing
